Qunatidade Participantes;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;Comentarios
150;15582;615;17/04/2020 05:44;PT-BR;36;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Paraíba;Married/cohabiting;1;Yes;Isolated;3;1;NA
151;16153;1938;17/04/2020 03:53;PT-BR;59;Male;College degree, bachelor, master;Up to 12 years of school;Part time employed;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Isolated;1;0;No meu país está havendo um grande descompasso no governo nas ações de combate ao Coronavírus. Isso tem gerado muita insegurança na população.
152;17525;1707;16/04/2020 19:12;PT-BR;24;Female;College degree, bachelor, master;Some College or equivalent;Student;Brazil;no;Rio Grande do Sul;Single;0;Yes;Life carries on with minor changes;5;1;NA
153;17578;823;16/04/2020 15:43;PT-BR;26;Female;PhD/Doctorate;Up to 12 years of school;Student;Brazil;no;RS;Married/cohabiting;0;Yes;Isolated;1;0;NA
154;17705;1118;16/04/2020 13:54;PT-BR;18;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;5;1;NA
155;17790;1788;17/04/2020 13:10;SME;25;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Not employed;Brazil;no;NA;Single;0;Yes;Life carries on with minor changes;2;1;NA
156;17953;554;16/04/2020 11:52;PT;38;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;NA;Married/cohabiting;2;Yes;Isolated;1;2;NA
157;18049;7525;16/04/2020 13:23;PT-BR;30;Female;PhD/Doctorate;Up to 9 years of school;Retired;Brazil;no;Sao Paulo;Married/cohabiting;0;Yes;Isolated;1;0;NA
158;18057;1179;17/04/2020 11:36;PT-BR;20;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;4;1;NA
159;18144;1507;16/04/2020 10:58;PT-BR;26;Male;College degree, bachelor, master;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;1;No;Isolated;1;0;NA
160;18183;828;16/04/2020 10:12;PT-BR;28;Female;College degree, bachelor, master;Up to 12 years of school;Student;Brazil;no;Amazonas;Single;3;Yes;Isolated;3;0;NA
161;18247;1685;16/04/2020 08:41;PT-BR;31;Female;NA;College degree;Student;Brazil;yes;Sao Paulo;Single;3;Yes;Life carries on with minor changes;2;0;NA
